[score_all] opt=opt2_loop_interchange level=2 | call=27 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=111.980 ms / 27 calls (avg=4.147 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=28 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=112.101 ms / 28 calls (avg=4.004 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=29 | elapsed=0.114 ms (114 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.500 | cumulative=112.215 ms / 29 calls (avg=3.869 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=30 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=112.337 ms / 30 calls (avg=3.745 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=31 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=112.458 ms / 31 calls (avg=3.628 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=32 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=112.581 ms / 32 calls (avg=3.518 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=33 | elapsed=0.115 ms (115 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.750 | cumulative=112.696 ms / 33 calls (avg=3.415 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=34 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=112.814 ms / 34 calls (avg=3.318 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=35 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=112.932 ms / 35 calls (avg=3.227 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=36 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=113.052 ms / 36 calls (avg=3.140 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=37 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=113.173 ms / 37 calls (avg=3.059 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=38 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=113.293 ms / 38 calls (avg=2.981 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=39 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=113.411 ms / 39 calls (avg=2.908 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=40 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=113.531 ms / 40 calls (avg=2.838 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=41 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=113.650 ms / 41 calls (avg=2.772 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=42 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=113.771 ms / 42 calls (avg=2.709 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=43 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=113.889 ms / 43 calls (avg=2.649 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=44 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=114.009 ms / 44 calls (avg=2.591 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=45 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=114.128 ms / 45 calls (avg=2.536 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=46 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=114.248 ms / 46 calls (avg=2.484 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=47 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=114.369 ms / 47 calls (avg=2.433 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=48 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=114.490 ms / 48 calls (avg=2.385 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=49 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=114.610 ms / 49 calls (avg=2.339 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=50 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=114.730 ms / 50 calls (avg=2.295 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=51 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=114.850 ms / 51 calls (avg=2.252 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=52 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=114.969 ms / 52 calls (avg=2.211 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=53 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=115.089 ms / 53 calls (avg=2.171 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=54 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=115.210 ms / 54 calls (avg=2.134 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=55 | elapsed=7.184 ms (7184 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.062 | cumulative=122.394 ms / 55 calls (avg=2.225 ms/call)
