[score_all] LOADED opt=opt6_best level=6 openmp=1
[score_all] opt=opt6_best level=6 | call=25 | elapsed=0.171 ms (171 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=42.750 | cumulative=29.044 ms / 25 calls (avg=1.162 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=26 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=29.128 ms / 26 calls (avg=1.120 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=27 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=29.215 ms / 27 calls (avg=1.082 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=28 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=29.298 ms / 28 calls (avg=1.046 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=29 | elapsed=0.082 ms (82 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.500 | cumulative=29.380 ms / 29 calls (avg=1.013 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=30 | elapsed=0.080 ms (80 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.000 | cumulative=29.460 ms / 30 calls (avg=0.982 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=31 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=29.579 ms / 31 calls (avg=0.954 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=32 | elapsed=0.082 ms (82 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.500 | cumulative=29.661 ms / 32 calls (avg=0.927 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=33 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=29.744 ms / 33 calls (avg=0.901 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=34 | elapsed=0.080 ms (80 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.000 | cumulative=29.824 ms / 34 calls (avg=0.877 ms/call) | path=n4 | openmp=1
