[score_all] LOADED opt=opt9_hybrid_bench level=9 cuda=1 (bench hybrid: n=4 CPU, n<2048 OpenMP, n>=2048 GPU)
[score_all] opt=opt9_hybrid_bench level=9 | call=24 | elapsed=0.205 ms (205 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=51.250 | cumulative=32.568 ms / 24 calls (avg=1.357 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=25 | elapsed=0.434 ms (434 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=108.500 | cumulative=33.002 ms / 25 calls (avg=1.320 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=26 | elapsed=0.237 ms (237 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=59.250 | cumulative=33.239 ms / 26 calls (avg=1.278 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=27 | elapsed=0.225 ms (225 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=56.250 | cumulative=33.464 ms / 27 calls (avg=1.239 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=28 | elapsed=0.146 ms (146 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=36.500 | cumulative=33.610 ms / 28 calls (avg=1.200 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=29 | elapsed=0.111 ms (111 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.750 | cumulative=33.721 ms / 29 calls (avg=1.163 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=30 | elapsed=0.141 ms (141 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=35.250 | cumulative=33.862 ms / 30 calls (avg=1.129 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=31 | elapsed=0.158 ms (158 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.500 | cumulative=34.020 ms / 31 calls (avg=1.097 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=32 | elapsed=0.135 ms (135 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=33.750 | cumulative=34.155 ms / 32 calls (avg=1.067 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=33 | elapsed=0.111 ms (111 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.750 | cumulative=34.266 ms / 33 calls (avg=1.038 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=34 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=34.388 ms / 34 calls (avg=1.011 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=35 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=34.543 ms / 35 calls (avg=0.987 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=36 | elapsed=0.114 ms (114 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.500 | cumulative=34.657 ms / 36 calls (avg=0.963 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=37 | elapsed=0.111 ms (111 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.750 | cumulative=34.768 ms / 37 calls (avg=0.940 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=38 | elapsed=0.125 ms (125 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.250 | cumulative=34.893 ms / 38 calls (avg=0.918 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=39 | elapsed=0.129 ms (129 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.250 | cumulative=35.022 ms / 39 calls (avg=0.898 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=40 | elapsed=0.116 ms (116 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.000 | cumulative=35.138 ms / 40 calls (avg=0.878 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=41 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=35.225 ms / 41 calls (avg=0.859 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=42 | elapsed=0.117 ms (117 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.250 | cumulative=35.342 ms / 42 calls (avg=0.841 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=43 | elapsed=0.171 ms (171 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=42.750 | cumulative=35.513 ms / 43 calls (avg=0.826 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=44 | elapsed=0.088 ms (88 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=22.000 | cumulative=35.601 ms / 44 calls (avg=0.809 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=45 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=35.688 ms / 45 calls (avg=0.793 ms/call) | path=n4 | cuda=1
