[score_all] opt=opt4_branchless level=4 | call=28 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=152.666 ms / 28 calls (avg=5.452 ms/call)
[score_all] opt=opt4_branchless level=4 | call=29 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=152.820 ms / 29 calls (avg=5.270 ms/call)
[score_all] opt=opt4_branchless level=4 | call=30 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=152.975 ms / 30 calls (avg=5.099 ms/call)
[score_all] opt=opt4_branchless level=4 | call=31 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=153.130 ms / 31 calls (avg=4.940 ms/call)
[score_all] opt=opt4_branchless level=4 | call=32 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=153.290 ms / 32 calls (avg=4.790 ms/call)
[score_all] opt=opt4_branchless level=4 | call=33 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=153.446 ms / 33 calls (avg=4.650 ms/call)
[score_all] opt=opt4_branchless level=4 | call=34 | elapsed=0.158 ms (158 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.500 | cumulative=153.604 ms / 34 calls (avg=4.518 ms/call)
[score_all] opt=opt4_branchless level=4 | call=35 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=153.760 ms / 35 calls (avg=4.393 ms/call)
[score_all] opt=opt4_branchless level=4 | call=36 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=153.916 ms / 36 calls (avg=4.275 ms/call)
[score_all] opt= [RUNNING]  Bag Time: 1777606586.448784   Duration: 0.847176 / 96.405450               opt4_branchless level=4 | call=37 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=154.075 ms / 37 calls (avg=4.164 ms/call)
[score_all] opt=opt4_branchless level=4 | call=38 | elapsed=0.161 ms (161 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.250 | cumulative=154.236 ms / 38 calls (avg=4.059 ms/call)
[score_all] opt=opt4_branchless level=4 | call=39 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=154.396 ms / 39 calls (avg=3.959 ms/call)
[score_all] opt=opt4_branchless level=4 | call=40 | elapsed=0.153 ms (153 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.250 | cumulative=154.549 ms / 40 calls (avg=3.864 ms/call)
[score_all] opt=opt4_branchless level=4 | call=41 | elapsed=0.184 ms (184 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=46.000 | cumulative=154.733 ms / 41 calls (avg=3.774 ms/call)
[score_all] opt=opt4_branchless level=4 | call=42 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=154.890 ms / 42 calls (avg=3.688 ms/call)
[score_all] opt=opt4_branchless level=4 | call=43 | elapsed=0.162 ms (162 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.500 | cumulative=155.052 ms / 43 calls (avg=3.606 ms/call)
[score_all] opt=opt4_branchless level=4 | call=44 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=155.208 ms / 44 calls (avg=3.527 ms/call)
[score_all] opt=opt4_branchless level=4 | call=45 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=155.365 ms / 45 calls (avg=3.453 ms/call)
[score_all] opt=opt4_branchless level=4 | call=46 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=155.521 ms / 46 calls (avg=3.381 ms/call)
[score_all] opt=opt4_branchless level=4 | call=47 | elapsed=0.153 ms (153 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.250 | cumulative=155.674 ms / 47 calls (avg=3.312 ms/call)
[score_all] opt=opt4_branchless level=4 | call=48 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=155.831 ms / 48 calls (avg=3.246 ms/call)
[score_all] opt=opt4_branchless level=4 | call=49 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=155.990 ms / 49 calls (avg=3.183 ms/call)
