level,branch_omp_min,avg_ms,last_score,iters,warmup
L2,999999,28.4058,0.1265,15,3
L2,128,22.4693,0.1265,15,3
L2,256,22.1495,0.1265,15,3
L2,512,22.6093,0.1265,15,3
