n,cpu_ms,gpu_ms,cpu_over_gpu,max_diff,winner
4,0.022290,1.029933,0.021642,0.000000,cpu
8,0.068121,0.876775,0.077695,0.000000,cpu
16,0.140380,0.950707,0.147658,0.000000,cpu
32,0.257718,1.064275,0.242154,0.000000,cpu
64,0.466510,1.025438,0.454938,0.000000,cpu
128,0.507416,1.001006,0.506906,0.000000,cpu
256,0.681257,1.397871,0.487353,0.000000,cpu
512,1.322876,2.145403,0.616610,0.000000,cpu
1024,2.628958,2.668395,0.985221,0.000000,tie
2048,5.332342,3.765978,1.415925,0.000000,gpu
4096,10.488884,4.321772,2.426987,0.000000,gpu
